Антипаттерн,Наличие,Предложения
Magic numbers,нет,нет
Spaghetti Code,да,рефакторинг всего кода
Лазанья-код,нет,нет
Слепая вера,да,создать блок валидации
Шифрованный код (Cryptic code),нет,нет
Жёсткое кодирование (Hard code),нет,нет
Мягкое кодирование (Soft code),нет,нет
Поток лавы (Lava flow),да,рефакторинг всего кода
Боязнь размещать логику в объектах предметной области,нет,нет
Божественный объект (God Object),нет,"Объект engine формально соответствует критериям God Object, но его использование в контексте задач оправдано"
Полтергейст (Poltergeist),да,Убрать из кода/Наполнить функционалом
Сплошное одиночество (Singletonitis),нет,нет
Приватизация (Privatization),нет,нет
Программирование методом копирования — вставки (Copy — Paste programming),да,"нет. Проект учебный, допустимо"
Золотой молоток (Golden Hammer),нет,нет
Фактор невероятности (Improbability factor),нет,нет
Преждевременная оптимизация (Premature optimization),нет,нет
Изобретение колеса (Reinventing the wheel),да,"нет. Проект учебный, допустимо"
Изобретение квадратного колеса (Reinventing the square wheel),да,"нет. Проект учебный, допустимо"
Инверсия абстракции (Abstract Inversion),нет,нет
Большой комок грязи (Big ball of mud),да,рефакторинг и оптимизация всего кода
Затычка на ввод (Input kludge),да,создать блок валидации
Волшебная кнопка (Magic pushbutton),нет,нет
Членовредительство (Mutilation),нет,нет
Дымоход предприятия (Stovepipe Enterprise),нет,нет
Дымоход системы (Stovepipe System),нет,нет
Путаница (Jumble),нет,нет
